"ano,""regiao"",""UF"",""etnia"",""%_etnia"",""%_desocupacao"",""%_subutilizacao"",""$_renda_med_formal"",""$_renda_med_informal"",""%_menor_renda_familiar"",""%_maior_renda_familiar"",""%_taxa_homicidio"""
"2012,""Sudeste"",""Rio de Janeiro"",""Preta"",""54.118041482888"",""8.2321013133693"",""14.464176531336"",""1931.9862056291"",""1286.3761619086"",""71.667501903529"",""23.577920009528"",""36.64"""
"2012,""Sudeste"",""São Paulo"",""Branca"",""64.662534918474"",""6.1707101113027"",""12.926832614387"",""3438.2296708532"",""2248.1220068055"",""49.705082153818"",""87.711201975443"",""12.32"""
"2012,""Sudeste"",""São Paulo"",""Preta"",""33.978768086005"",""9.0532027033975"",""16.708724961158"",""1998.0815480164"",""1328.9074051138"",""49.765856982442"",""9.4421519377222"",""19.61"""
"2012,""Norte"",""Acre"",""Branca"",""23.469458856645"",""8.4194652672259"",""23.007207284407"",""2997.1353068069"",""1763.0113691855"",""19.267562807122"",""40.511748056614"",""9.92"""
"2012,""Norte"",""Acre"",""Preta"",""75.786733335192"",""9.1364505030031"",""23.889992378168"",""2171.0355240622"",""1089.2982955264"",""78.385808939132"",""58.918987822668"",""30.12"""
"2012,""Norte"",""Amapá"",""Branca"",""16.821698337865"",""12.970581552197"",""19.98292597423"",""3021.4424624574"",""1845.2196166886"",""12.773766391094"",""28.462290906972"",""17.16"""
"2012,""Norte"",""Amapá"",""Preta"",""82.835883009081"",""13.282731543495"",""22.313596423058"",""2327.5903104211"",""1159.5484769033"",""87.226233608906"",""71.537709093028"",""36.41"""
"2012,""Norte"",""Amazonas"",""Branca"",""20.368685740929"",""8.7724583741338"",""17.875426636442"",""3851.8149213769"",""2264.7293775105"",""13.277180204105"",""39.578933471958"",""18.46"""
"2012,""Norte"",""Amazonas"",""Preta"",""77.414330130141"",""10.081004125502"",""20.74796632309"",""2091.5861983832"",""1161.9198795386"",""83.265566391882"",""58.344837155487"",""42.46"""
"2012,""Norte"",""Pará"",""Branca"",""19.633494336442"",""7.2296406020788"",""24.25562346352"",""2985.7461853476"",""1314.0533356339"",""10.126368604747"",""33.755690615208"",""15.73"""
"2012,""Norte"",""Pará"",""Preta"",""79.841436154379"",""7.3458503651477"",""26.675286313115"",""2034.5145570347"",""982.82424019886"",""89.401248546761"",""65.392204300807"",""47.11"""
"2012,""Norte"",""Rondônia"",""Branca"",""32.916534076736"",""4.8213991498351"",""13.864795971573"",""2647.1950081471"",""1365.3737563772"",""26.186922466985"",""47.395091155736"",""24.17"""
"2012,""Norte"",""Rondônia"",""Preta"",""66.622654516732"",""6.09927992087"",""17.457550817575"",""1836.01456976"",""1215.5346632789"",""73.671316567021"",""51.722534316149"",""33.07"""
"2012,""Norte"",""Roraima"",""Branca"",""20.633053262042"",""6.6291726202817"",""15.968467511152"",""4060.2289832332"",""2079.7481410556"",""12.76245187972"",""48.214948566132"",""41.21"""
"2012,""Norte"",""Roraima"",""Preta"",""76.102985638748"",""8.2657450558931"",""21.957376537156"",""2495.80973574"",""1325.3444465289"",""81.223433433643"",""51.334521051011"",""30.81"""
"2012,""Norte"",""Tocantins"",""Branca"",""22.573575108372"",""5.3593920595169"",""15.432848273799"",""3061.1281383666"",""1719.2882483992"",""12.102200847544"",""44.803566217511"",""17.52"""
"2012,""Norte"",""Tocantins"",""Preta"",""76.719640773672"",""8.6847393100925"",""23.044276012207"",""1964.8607497445"",""1029.8883047228"",""87.482552233992"",""54.358344850254"",""27.57"""
"2012,""Nordeste"",""Alagoas"",""Branca"",""23.726974249765"",""10.634403788189"",""22.638728587247"",""2196.0911111256"",""921.46564396802"",""19.599088295115"",""38.450249840083"",""10.8"""
"2012,""Nordeste"",""Alagoas"",""Preta"",""75.955430899532"",""11.528656830286"",""25.652791666713"",""1511.2646399016"",""828.68673831285"",""80.191640174465"",""60.779037422034"",""76.64"""
"2012,""Nordeste"",""Bahia"",""Branca"",""19.920704600258"",""9.8373111159424"",""28.546832514039"",""2867.3825083722"",""948.27628443046"",""16.969221483097"",""31.047424896236"",""14.24"""
"2012,""Nordeste"",""Bahia"",""Preta"",""79.45846885759"",""11.642738607168"",""33.605640617174"",""1871.3871593916"",""778.77220219669"",""82.503803141492"",""68.238976794034"",""45.15"""
"2012,""Nordeste"",""Ceará"",""Branca"",""30.484282687626"",""6.3440060039506"",""23.723135892207"",""2607.4810308485"",""1174.941668754"",""21.057435355332"",""51.660951071446"",""9.28"""
"2012,""Nordeste"",""Ceará"",""Preta"",""69.188610757734"",""8.3195927477563"",""28.713743368402"",""1787.2941000281"",""791.63870744412"",""78.670008358689"",""47.712055948683"",""31.87"""
"2012,""Nordeste"",""Maranhão"",""Branca"",""19.12512681139"",""8.4391818241943"",""23.066310282524"",""2061.1489505357"",""954.02934519797"",""16.166660082905"",""32.278081716427"",""14.44"""
"2012,""Nordeste"",""Maranhão"",""Preta"",""80.565166505564"",""7.686829718656"",""24.551470471442"",""1541.9895029891"",""726.41579950674"",""83.497204066367"",""67.018717648296"",""28.82"""
"2012,""Nordeste"",""Paraíba"",""Branca"",""33.861443913597"",""8.6448934605695"",""28.345791109817"",""2199.91208738"",""1056.0355853994"",""26.674480485066"",""53.257530977723"",""6.64"""
"2012,""Nordeste"",""Paraíba"",""Preta"",""65.299511051233"",""9.9882623869718"",""32.832667382222"",""1570.4573038398"",""751.69918802392"",""72.718565162293"",""45.859284211252"",""51.36"""
